,year,month,day,week,home,away,stadium,weather,temp,spec,date
260,2023,8,5,토,롯데,SSG,부산 사직 야구장,맑음,33.4℃,10670,2023-08-05
261,2023,8,5,토,삼성,LG,대구 삼성 라이온즈 파크,맑음,37.2℃,15879,2023-08-05
262,2023,8,5,토,NC,키움,창원NC파크,구름조금,36.5℃,8244,2023-08-05
263,2023,8,4,금,KIA,한화,광주-기아 챔피언스 필드,구름조금,34.4℃,11495,2023-08-04
264,2023,8,4,금,NC,키움,창원NC파크,구름조금,34.5℃,5107,2023-08-04
265,2023,8,4,금,삼성,LG,대구 삼성 라이온즈 파크,구름조금,34.7℃,10856,2023-08-04
266,2023,8,4,금,롯데,SSG,부산 사직 야구장,구름조금,33.7℃,8545,2023-08-04
267,2023,8,4,금,두산,KT,서울 잠실 야구장,구름조금,34.4℃,6358,2023-08-04
268,2023,8,3,목,LG,키움,서울 잠실 야구장,구름조금,33.8℃,12179,2023-08-03
269,2023,8,3,목,롯데,NC,부산 사직 야구장,구름조금,33.2℃,10162,2023-08-03
270,2023,8,3,목,KT,SSG,수원케이티위즈파크,구름조금,33.5℃,7521,2023-08-03
271,2023,8,3,목,한화,두산,대전 한화생명 이글스파크,구름조금,34.4℃,9024,2023-08-03
272,2023,8,3,목,삼성,KIA,포항야구장,맑음,29.5℃,6357,2023-08-03
273,2023,8,2,수,삼성,KIA,포항야구장,맑음,29.7℃,6477,2023-08-02
274,2023,8,2,수,한화,두산,대전 한화생명 이글스파크,구름조금,33.8℃,9011,2023-08-02
275,2023,8,2,수,KT,SSG,수원케이티위즈파크,구름조금,33.4℃,7780,2023-08-02
276,2023,8,2,수,롯데,NC,부산 사직 야구장,구름많음,33.1℃,11444,2023-08-02
277,2023,8,2,수,LG,키움,서울 잠실 야구장,구름조금,33.7℃,11740,2023-08-02
278,2023,8,1,화,LG,키움,서울 잠실 야구장,구름조금,34.2℃,12159,2023-08-01
279,2023,8,1,화,롯데,NC,부산 사직 야구장,구름조금,33.2℃,13326,2023-08-01
